x,y,z,id
-1.42464,0.15,-0.47856,1
-1.42464,0.15,0.47856,1
-1.42464,0.15,0.47856,1
-1.42464,2.4,0.47856,1
-1.42129,0.127575,0.477435,1
-1.42129,0.127575,-0.47743,1
-1.42049,2.482687,-0.23611,1
-1.42049,2.482687,0.236115,1
-1.42,0.9,-1.42,1
-1.42,0.9,-1.42,1
-1.42,0.9,1.42,1
-1.42,0.9,1.42,1
-1.4198,2.4945,0,1
-1.4198,2.4945,0,1
-1.41624,0.384375,-1.03936,1
-1.41624,0.384375,1.03936,1
-1.41485,1.037175,-1.41485,1
-1.41485,1.037175,1.414853,1
-1.41006,0.771675,-1.41006,1
-1.41006,0.771675,1.41006,1
-1.40641,0.1056,-0.47243,1
-1.40641,0.1056,0.472434,1
-1.40595,2.435437,-0.47228,1
-1.40595,2.435437,0.472283,1
-1.40313,2.498438,0,1
-1.40313,2.498438,0,1
-1.40151,2.4945,-0.23296,1
-1.40151,2.4945,0.232961,1
-1.40128,2.242575,-0.72904,1
-1.40128,2.242575,0.729046,1
-1.40012,1.1784,-1.40012,1
-1.40012,1.1784,1.40012,1
-1.4,2.4,0,1
-1.4,2.4,0,1
-1.39055,1.929525,-1.0205,1
-1.39055,1.929525,1.020503,1
-1.3902,2.4945,0,1
-1.3902,2.4945,0,1
-1.38627,2.463,-0.46567,1
-1.38627,2.463,0.465671,1
-1.38593,2.435437,0,1
-1.38593,2.435437,0,1
-1.38505,2.498438,-0.23022,1
-1.38505,2.498438,0.230225,1
-1.38308,0.6564,-1.38308,1
-1.38308,0.6564,1.38308,1
-1.3824,0.0648,0,1
-1.3824,0.0648,0,1
-1.38223,2.482687,0,1
-1.38223,2.482687,0,1
-1.38197,2.4,-0.22971,1
-1.38197,2.4,0.229712,1
-1.38103,0.2136,0.718514,1
-1.38103,0.2136,-0.71851,1
-1.3804,2.463,0,1
-1.3804,2.463,0,1
-1.37687,1.323225,-1.37686,1
-1.37687,1.323225,1.376868,1
-1.37271,0.084525,-0.46111,1
-1.37271,0.084525,0.461116,1
-1.37229,2.4945,-0.2281,1
-1.37229,2.4945,0.228104,1
-1.36807,2.435437,-0.2274,1
-1.36807,2.435437,0.227403,1
-1.36673,2.482687,-0.4591,1
-1.36673,2.482687,0.459107,1
-1.3646,0.0648,-0.22682,1
-1.3646,0.0648,0.226824,1
-1.36442,2.482687,-0.22679,1
-1.36442,2.482687,0.226795,1
-1.36262,2.463,-0.22649,1
-1.36262,2.463,0.226496,1
-1.35635,0.3168,-0.99541,1
-1.35635,0.3168,0.99541,1
-1.34847,2.4945,-0.45297,1
-1.34847,2.4945,0.452973,1
