x,y,z
823,824,838
823,838,837
817,825,824
818,838,839
824,825,839
824,839,838
817,826,825
818,839,840
825,826,840
825,840,839
817,827,826
818,840,841
826,827,841
826,841,840
817,828,827
818,841,842
827,828,842
827,842,841
817,829,828
818,842,843
828,829,843
828,843,842
817,830,829
818,843,844
829,830,844
829,844,843
817,831,830
818,844,845
830,831,845
830,845,844
817,832,831
818,845,846
831,832,846
831,846,845
817,819,832
818,846,833
832,819,833
832,833,846
847,850,849
848,873,874
849,850,874
849,874,873
847,851,850
848,874,875
850,851,875
850,875,874
847,852,851
848,875,876
851,852,876
851,876,875
847,853,852
848,876,877
852,853,877
852,877,876
847,854,853
848,877,878
853,854,878
853,878,877
847,855,854
848,878,879
854,855,879
854,879,878
847,856,855
848,879,880
855,856,880
855,880,879
847,857,856
848,880,881
856,857,881
856,881,880
847,858,857
848,881,882
857,858,882
857,882,881
847,859,858
848,882,883
858,859,883
858,883,882
847,860,859
848,883,884
859,860,884
859,884,883
847,861,860
848,884,885
860,861,885
860,885,884
847,862,861
848,885,886
861,862,886
861,886,885
847,863,862
848,886,887
862,863,887
862,887,886
847,864,863
848,887,888
863,864,888
863,888,887
847,865,864
848,888,889
864,865,889
864,889,888
847,866,865
848,889,890
865,866,890
865,890,889
847,867,866
848,890,891
866,867,891
866,891,890
847,868,867
848,891,892
867,868,892
867,892,891
847,869,868
848,892,893
868,869,893
868,893,892
847,870,869
848,893,894
869,870,894
869,894,893
847,871,870
848,894,895
870,871,895
870,895,894
847,872,871
848,895,896
871,872,896
871,896,895
847,849,872
848,896,873
872,849,873
872,873,896
